2016-04-20 09:50:07 INFO  XmlWebApplicationContext:578 - Refreshing WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Wed Apr 20 09:50:07 MSK 2016]; parent: Root WebApplicationContext
2016-04-20 09:50:07 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring/appServlet/dispatcher-servlet.xml]
2016-04-20 09:50:08 INFO  AutowiredAnnotationBeanPostProcessor:153 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2016-04-20 09:50:08 INFO  RequestMappingHandlerMapping:534 - Mapped "{[/],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView by.bsuir.ief.corporativ_portal.controller.LogInController.main()
2016-04-20 09:50:08 INFO  Version:30 - HV000001: Hibernate Validator 5.2.4.Final
2016-04-20 09:50:09 INFO  RequestMappingHandlerAdapter:532 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Wed Apr 20 09:50:07 MSK 2016]; parent: Root WebApplicationContext
2016-04-20 09:50:09 INFO  RequestMappingHandlerAdapter:532 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Wed Apr 20 09:50:07 MSK 2016]; parent: Root WebApplicationContext
2016-04-20 09:50:09 INFO  SimpleUrlHandlerMapping:341 - Mapped URL path [/resources/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2016-04-20 09:50:09 INFO  DispatcherServlet:507 - FrameworkServlet 'WebCorporativPortal': initialization completed in 1909 ms
2016-04-20 09:50:59 INFO  XmlWebApplicationContext:960 - Closing WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Wed Apr 20 09:50:07 MSK 2016]; parent: Root WebApplicationContext
2016-04-20 09:50:59 INFO  XmlWebApplicationContext:960 - Closing Root WebApplicationContext: startup date [Wed Apr 20 09:50:07 MSK 2016]; root of context hierarchy
2016-04-20 09:56:47 INFO  ContextLoader:305 - Root WebApplicationContext: initialization started
2016-04-20 09:56:47 INFO  XmlWebApplicationContext:578 - Refreshing Root WebApplicationContext: startup date [Wed Apr 20 09:56:47 MSK 2016]; root of context hierarchy
2016-04-20 09:56:47 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring/applicationContext.xml]
2016-04-20 09:56:47 INFO  ContextLoader:345 - Root WebApplicationContext: initialization completed in 511 ms
2016-04-20 09:56:47 INFO  DispatcherServlet:488 - FrameworkServlet 'WebCorporativPortal': initialization started
2016-04-20 09:56:47 INFO  XmlWebApplicationContext:578 - Refreshing WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Wed Apr 20 09:56:47 MSK 2016]; parent: Root WebApplicationContext
2016-04-20 09:56:47 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring/appServlet/dispatcher-servlet.xml]
2016-04-20 09:56:48 INFO  AutowiredAnnotationBeanPostProcessor:153 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2016-04-20 09:56:48 INFO  RequestMappingHandlerMapping:534 - Mapped "{[/],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView by.bsuir.ief.corporativ_portal.controller.LogInController.main()
2016-04-20 09:56:48 INFO  Version:30 - HV000001: Hibernate Validator 5.2.4.Final
2016-04-20 09:56:49 INFO  RequestMappingHandlerAdapter:532 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Wed Apr 20 09:56:47 MSK 2016]; parent: Root WebApplicationContext
2016-04-20 09:56:49 INFO  RequestMappingHandlerAdapter:532 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Wed Apr 20 09:56:47 MSK 2016]; parent: Root WebApplicationContext
2016-04-20 09:56:49 INFO  SimpleUrlHandlerMapping:341 - Mapped URL path [/resources/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2016-04-20 09:56:49 INFO  DispatcherServlet:507 - FrameworkServlet 'WebCorporativPortal': initialization completed in 1820 ms
2016-04-20 09:58:15 INFO  XmlWebApplicationContext:960 - Closing WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Wed Apr 20 09:56:47 MSK 2016]; parent: Root WebApplicationContext
2016-04-20 09:58:15 INFO  XmlWebApplicationContext:960 - Closing Root WebApplicationContext: startup date [Wed Apr 20 09:56:47 MSK 2016]; root of context hierarchy
2016-04-20 09:58:31 INFO  ContextLoader:305 - Root WebApplicationContext: initialization started
2016-04-20 09:58:32 INFO  XmlWebApplicationContext:578 - Refreshing Root WebApplicationContext: startup date [Wed Apr 20 09:58:32 MSK 2016]; root of context hierarchy
2016-04-20 09:58:32 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring/applicationContext.xml]
2016-04-20 09:58:32 INFO  ContextLoader:345 - Root WebApplicationContext: initialization completed in 544 ms
2016-04-20 09:58:32 INFO  DispatcherServlet:488 - FrameworkServlet 'WebCorporativPortal': initialization started
2016-04-20 09:58:32 INFO  XmlWebApplicationContext:578 - Refreshing WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Wed Apr 20 09:58:32 MSK 2016]; parent: Root WebApplicationContext
2016-04-20 09:58:32 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring/appServlet/dispatcher-servlet.xml]
2016-04-20 09:58:33 INFO  AutowiredAnnotationBeanPostProcessor:153 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2016-04-20 09:58:33 INFO  RequestMappingHandlerMapping:534 - Mapped "{[/],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView by.bsuir.ief.corporativ_portal.controller.LogInController.main()
2016-04-20 09:58:33 INFO  Version:30 - HV000001: Hibernate Validator 5.2.4.Final
2016-04-20 09:58:34 INFO  RequestMappingHandlerAdapter:532 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'WebCorporativPortal-servlet': startup date [Wed Apr 20 09:58:32 MSK 2016]; parent: Root WebApplicationContext
